Project ID,Organization,Department,Division,Project Number,Project Category,Project Type,Project Sub-Type,Phase,Priority,Status,Project Name,Description,Justification,Project Location,Notes,Council District,Estimated Start,Estimated End,Plan Cost,Estimated Cost,PO Cost,Actual Cost,Metro Cost,State Cost,Federal Cost,Other Cost,Total Cost,Longitude,Latitude,Layer Name,Mapped Location
7676,Metro Nashville,Metro Public Works,Paving,RPMS-49178,Paving,Paving,New,Complete,,Complete,CHURCH ST - 1ST AVE N - ROSA L PARKS BLVD,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",CHURCH ST - 1ST AVE N - ROSA L PARKS BLVD,"Based on the current condition index, this roadway segment qualifies for paving.",19,01/01/2023,12/31/2023,106400,0,0,0,0,0,0,0,106400,-86.780189,36.16318,Project Line,POINT (-86.780189 36.16318)
2036,Metro Nashville,Metro Public Works,Paving,RPMS-18406,Paving,Paving,New,Complete,,Complete,7TH AVE N - BROADWAY - DR MARTIN L KING JR BLVD,"Based on the current condition index, this roadway segment qualifies for paving","Based on the current condition index, this roadway segment qualifies for paving",7TH AVE N - BROADWAY - DR MARTIN L KING JR BLVD,"Based on the current condition index, this roadway segment qualifies for paving",19,01/01/2023,01/31/2023,125800,0,0,0,38250,0,0,0,125800,-86.782657,36.162123,Project Line,POINT (-86.782657 36.162123)
6087,Metro Nashville,Metro Public Works,Engineering,21-042008052033,Sidewalk,New Sidewalk,New,Complete,,Complete,Annex Ave From Continental Dr To Thunderbird Dr,New sidewalks,To provide connectivity to local neighborhoods.,Annex Ave From Continental Dr To Thunderbird Dr,Installation of sidewalk along roadway to provide connectivity to local neighborhoods,20,04/26/2022,05/20/2022,396885.18,396885.18,0,0,0,0,0,0,396885.18,-86.888527,36.146824,Project Line,POINT (-86.888527 36.146824)
8292,Metro Nashville,Metro Public Works,Engineering,23-060110033116,Bridge,Bridge Repairs,Maintenance/Repairs,Planning/Scoping,,Planned,Pedestrian Bridege/ Ellington Parkway & CSXT Railroad,Flagged - NDOT. The work will consist of: Repair bridge components identified by the initial inspection,The initial inspection identified deterioration on the bridge structural components.,Pedestrian Bridege/ Ellington Parkway & CSXT Railroad,Traffic control measures will be required to complete the planned bridge repairs.,05,,,0,0,0,0,0,0,0,0,0,-86.762667,36.18093,Project Line,POINT (-86.762667 36.18093)
8054,Metro Nashville,Metro Public Works,Engineering,22-111107082951,Sidewalk,New Sidewalk,New,Plan Design,,Planned,Pillow St From Hamilton Ave To Humphreys St,New 5ft sidewalk with curb and gutter,To improve pedestrian safety and connectivity,Pillow St From Hamilton Ave To Humphreys St,This sidewalk is in the planning stage,17,04/08/2024,07/06/2024,741706,0,0,0,0,0,0,0,741706,-86.766237,36.141722,Project Line,POINT (-86.766237 36.141722)
7488,Metro Nashville,Metro Public Works,Engineering,22-022209263815,Sidewalk,New Sidewalk,New,Planning/Scoping,,Planned,Harris St From Gallatin Pike To 126 Harris St,"This project will bridge a sidewalk gap on Harris Street, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Harris St From Gallatin Pike To 126 Harris St,Install new sidewalk on south side of Harris Street starting at intersection of Gallatin Pike. Estimated start late 2024.,09,09/01/2024,12/01/2024,77500,0,0,0,0,0,0,0,77500,-86.712379,36.258286,Project Line,POINT (-86.712379 36.258286)
7509,Metro Nashville,Metro Public Works,Engineering,22-022308161939,Sidewalk,New Sidewalk,New,Future,,Future,Clifton Ave From 25th Ave N To Felicia St,"This project will bridge sidewalk gaps on Clifton Ave, increasing walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Clifton Ave From 25th Ave N To Felicia St,Install new sidewalk on south side of Clifton Ave from Felicia Street to 25th Avenue N. Estimated start 2025.,21,09/01/2025,12/01/2025,240000,0,0,0,0,0,0,0,240000,-86.812487,36.158086,Project Line,POINT (-86.812487 36.158086)
710,Metro Nashville,Metro Public Works,Paving,RPMS-10985,Paving,Paving,New,Complete,,Complete,31ST AVE N - ALAMEDA ST - JOHN A MERRITT BV,31ST AVE N - ALAMEDA ST - JOHN A MERRITT BV,"Based on the current condiion index, this roadway segment qualifies for paving",31ST AVE N - ALAMEDA ST - JOHN A MERRITT BV,PAVING PROJECT: '31ST AVE N - ALAMEDA ST - JOHN A MERRITT BV',21,01/01/2019,01/31/2019,34000,0,0,0,34000,0,0,0,34000,-86.824226,36.16634,Project Line,POINT (-86.824226 36.16634)
6270,Metro Nashville,Metro Public Works,Engineering,21-042011584371,Sidewalk,New Sidewalk,New,Plan Design,,Planned,Vaughns gap Road Sidewalk Improvements,New sidewalks with grass furnishing zone.,To provide connectivity to local neighborhoods.,VAUGHNS GAP RD From PERCY DR To PARK LN,Installation of sidewalk along roadway to provide connectivity to local neighborhoods.,23,04/30/2024,12/01/2024,1500000,1301000,0,0,1301000,0,0,0,1301000,-86.885587,36.086675,Project Line,POINT (-86.885587 36.086675)
8383,Metro Nashville,Metro Public Works,Engineering,23-110212045534,Sidewalk,New Sidewalk,New,Plan Design,,Planned,Sawyer Brown Rd From Todd Preis Dr To Highway 70 S,"This project bridged a sidewalk gap on Sawyer Brown Road, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Sawyer Brown Rd From Todd Preis Dr To Highway 70 S,Install new sidewalk on west side of Sawyer Brown Road from Todd Preis Drive to Highway 70.,22,01/29/2024,04/27/2024,260932.12,334800,0,0,0,0,0,0,334800,-86.946167,36.074696,Project Line,POINT (-86.946167 36.074696)
7499,Metro Nashville,Metro Public Works,Engineering,22-022214330570,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,Doverside Dr From Eaglewood Ln To Oakview Dr,233 linear ft of 5ft sidewalk.,"This project connects to an existing sidewalk network and provides connectivity to recreational centers and commercial areas, as well as a public transit stop.",Doverside Dr From Eaglewood Ln To Oakview Dr,This project met selection criteria due to connectivity and the opportunity for safety improvements.,03,03/27/2023,04/24/2023,50000,0,83968.3,83968.3,0,0,0,0,83968.3,-86.767813,36.241294,Project Line,POINT (-86.767813 36.241294)
8059,Metro Nashville,Metro Public Works,Engineering,22-111712323453,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,Craighead St (Phase 2) From Gate 7 (Fairground Entrance) To Nolensville Pk,"This project bridged a sidewalk gap on Craighead Street, increasing walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Craighead St From Gate 7 (Fairground Entrance) To Nolensville Pike,Install new sidewalk on west side of Craighead Street from fairground entrance to Nolensville Pike. Completed in 2023.,17,04/18/2023,06/10/2023,0,0,694488.23,694488.23,0,0,0,0,694488.23,-86.760346,36.129358,Project Line,POINT (-86.760346 36.129358)
7684,Metro Nashville,Metro Public Works,Engineering,22-051912060184,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,Ewing Drive From Brick Church Pike  To 270' East of Brick Church Pike,"This project will bridge a sidewalk gap on Ewing Drive, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Ewing Drive From Brick Church Pike  To 270' East of Brick Church Pike,Install new sidewalk on north side of Ewing Drive starting from the intersection of Bruck Church Pike. Project completed 2022.,02,05/31/2022,06/02/2022,30054.33,0,0,0,0,0,0,0,30054.33,-86.780941,36.231598,Project Line,POINT (-86.780941 36.231598)
7679,Metro Nashville,Metro Public Works,Engineering,22-051615314003,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Construction/Closeout/Warranty,,Complete,Elm Hill Pike From 2340 Elm Hill Pike To McGavock Pike,"This project bridged a sidewalk gap on Elm Hill Pike, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Elm Hill Pike From 2340 Elm Hill Pike To McGavock Pike,Install new sidewalk on north side of Elm Hill Pike between McGavock Pike and Ermac Drive. Project finished 2022.,15,05/24/2022,06/09/2022,226045.39,0,0,0,0,0,0,0,226045.39,-86.684761,36.153434,Project Line,POINT (-86.684761 36.153434)
8111,Metro Nashville,Metro Public Works,Engineering,22-120509402517,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,Murfreesboro Pike From Nashboro Blvd To Nashboro Village Entrance,"This project will bridge a sidewalk gap on Murfreesboro Pike, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Murfreesboro Pike From Nashboro Blvd To Nashboro Village Entrance,Install 5ft sidewalk at back of curb on Murfreesboro Pike from Nashboro Boulevard to entrance of Nashville Village. Estimated start 2023.,"28, 29",09/14/2023,12/12/2023,165000,0,0,0,0,0,0,0,165000,-86.649149,36.087964,Project Line,POINT (-86.649149 36.087964)
7763,Metro Nashville,Metro Public Works,Engineering,22-071909001817,Sidewalk,New Sidewalk,New,Planning/Scoping,,Planned,Glengarry Dr From Murfreesboro Pike To Winthorne Dr,"This project will bridge a sidewalk gap on Glengarry Drive, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Glengarry Dr From Murfreesboro Pike To Winthorne Dr,Install new sidewalk on east side of Glengarry Drive near intersection of Murfreesboro Pike. Estimated start 2025.,16,07/01/2025,12/01/2025,30000,0,0,0,0,0,0,0,30000,-86.703944,36.12016,Project Line,POINT (-86.703944 36.12016)
8317,Metro Nashville,Metro Public Works,Engineering,23-071010485325,Bikeway,Protected Bike Lane,New,Plan Design,,Planned,Centennial Blvd From 63rd Ave N To 39th Ave N,This project is anticipated to provide a new protected cycletrack and will be installed following major utility work on the corridor.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Centennial Blvd From 63rd Ave N To 39th Ave N,Project is currently in design.,"20, 21","Jul, 2025","Dec, 2025",867519.41,0,0,0,0,0,0,0,867519.41,-86.848586,36.162064,Project Line,POINT (-86.848586 36.162064)
8293,Metro Nashville,Metro Public Works,Engineering,23-060115232776,Bridge,Bridge Repairs,Maintenance/Repairs,Planning/Scoping,,Planned,Demonbreun Street/11th Avenue N & CSXT Railroad,Flagged - NDOT.  The work will consist of: CSXT PE Agreement. Repair concrete deterioration on both bridge abutments.,The 2021 TDOT inspection identified concrete spalls with exposed steel and concrete delamination at both abutments.,Demonbreun Street/11th Avenue N & CSXT Railroad,Traffic control measures will be required to complete the planned bridge repairs.,19,,,0,150000,0,0,0,0,0,0,150000,-86.784421,36.155374,Project Poly,POINT (-86.784421 36.155374)
7774,Metro Nashville,Metro Public Works,Engineering,22-072613044816,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,LOWER BROADWAY PHASE 5,20' sidewalk between Rep John Lewis Way(5th ave) and 4th Ave.,To increase pedestrian safety and connectivity.,BROADWAY From REP JOHN LEWIS WAY (5TH AVE) To 4TH AVE,New sidewalk is being built for the safety of pedestrians in a very busy area.,19,12/12/2022,05/05/2023,0,1500000,0,0,0,0,0,0,1500000,-86.777753,36.160654,Project Line,POINT (-86.777753 36.160654)
7588,Metro Nashville,Metro Public Works,Paving,RPMS-49136,Paving,Paving,New,Complete,,Complete,CENTURY ST - 16TH AVE N - 17TH AVE N,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",CENTURY ST - 16TH AVE N - 17TH AVE N,"Based on the current condition index, this roadway segment qualifies for paving.",21,01/01/2023,12/31/2023,16150,0,0,0,0,0,0,0,16150,-86.809097,36.178209,Project Line,POINT (-86.809097 36.178209)
7854,Metro Nashville,Metro Public Works,Paving,RPMS-49275,Paving,Paving,New,Complete,,Complete,S 14TH ST - WOODLAND ST - DAVIDSON ST,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",S 14TH ST - WOODLAND ST - DAVIDSON ST,"Based on the current condition index, this roadway segment qualifies for paving.",06,01/01/2023,12/31/2023,291650,0,0,0,0,0,0,0,291650,-86.746715,36.171348,Project Line,POINT (-86.746715 36.171348)
667,Metro Nashville,Metro Public Works,Paving,RPMS-10929,Paving,Paving,New,Complete,,Complete,COFFEE ST - 9TH AV N - #593 AL,COFFEE ST - 9TH AV N - #593 AL,"Based on the current condiion index, this roadway segment qualifies for paving",COFFEE ST - 9TH AV N - #593 AL,COFFEE ST - 9TH AV N - #593 AL,21,01/01/2023,01/31/2023,43700,0,0,0,39100,0,0,0,43700,-86.804721,36.182593,Project Line,POINT (-86.804721 36.182593)
7111,Metro Nashville,Metro Public Works,Engineering,21-060414530566,Bikeway,Buffered Bike Lane,New,Plan Design,,Planned,Demonbreun St From 10th Ave S To 1st Ave S,Construction of a new buffered bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Demonbreun St From 10th Ave S To 1st Ave S,This is a bikeway planned for future construction.,19,"Jul, 2024","Dec, 2024",153000,307751.1,0,0,0,0,0,0,307751.1,-86.774674,36.15955,Project Line,POINT (-86.774674 36.15955)
6807,Metro Nashville,Metro Public Works,Engineering,21-021910145837,Culvert,Culvert Replacement,Replacement,Complete,,Complete,230 Harding Place,"Risk of Structural Failure:  Culvert Replacement Project - The work will consist of replacing the existing double barrel 6'x4.5' slab bridge with a TDOT Reinforced Concrete Slab Bridge. Additional work will consist of inlet and outlet channel stabilization, embankments stabilization, and inlet and outlet wingwalls. Ancillary components and services such as traffic safety features and utility coordination will also be determined at project initiation.","To address and resolve the following deficiencies: Culvert spalled concrete with exposed steel reinforcement on the bridge deck as well as a partially collapsed abutment wall.  The structure was rated ""Critical"" (2 out of 9) during the latest condition assessment.  Replacement is needed to avoid potential roadway failure.",230 Harding Place,This project was initiated due to poor condition. Culvert replacement will require traffic control measures.,23,06/05/2023,10/20/2023,549000,0,0,0,0,0,0,0,549000,-86.86555,36.099222,Project Point,POINT (-86.86555 36.099222)
211,Metro Nashville,Metro Public Works,Engineering,21-112306520984,Bikeway,Bike Lane,New,Ready for Construction,,Scheduled,Jefferson St From Rosa L Parks Blvd To Cowan St,Construction of a new bike lane,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Jefferson St From Rosa L Parks Blvd To Cowan St,"New bike lane ready for construction, pending paving and other construction activities.",19,"Jul, 2024","Dec, 2024",93782.8,111810.82,0,0,93782.8,0,0,0,111810.82,-86.777692,36.176624,Project Line,POINT (-86.777692 36.176624)
7506,Metro Nashville,Metro Public Works,Engineering,22-022307492215,Sidewalk,New Sidewalk,New,Future,,Future,HARRINGTON AVE From GALLATIN PIKE To IDLEWILD AVE,"This project will bridge a sidewalk gap on Harrington Avenue, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,HARRINGTON AVE From GALLATIN PIKE To IDLEWILD AVE,Install new sidewalk on north side of east half of Harrington Avenue starting at intersection of Idlewood Avenue. Estimated start 2026.,09,2026,2026,533905.08,0,0,0,0,0,0,0,533905.08,-86.708081,36.256786,Project Line,POINT (-86.708081 36.256786)
7479,Metro Nashville,Metro Public Works,Engineering,22-021714551287,Bikeway,Bike Lane,New,Complete,,Complete,Lindsley Ave From 3rd Ave S To 2nd Ave S,Construction of a new protected bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Lindsley Ave From 3rd Ave S To 2nd Ave S,Bikeway is complete.,19,"Apr, 2023","Dec, 2023",31473.08,0,0,0,0,0,0,0,31473.08,-86.769491,36.152157,Project Line,POINT (-86.769491 36.152157)
7744,Metro Nashville,Metro Public Works,Engineering,22-062312413898,Culvert,Culvert Repairs,Maintenance/Repairs,Complete,,Complete,4121 Wallace Lane,"Handrail installation: The work will consist of remove vegetation, pointing of the stacked stone abutments, install concrete cap at the culvert headwall, install 35' of handrail on the east side of the roadway at the culvert, install 70' of handrail on the west side of the roadway at the culvert",To resolve and address the following deficiencies: Shear drop-off from the roadway to the creek channel and the threat to pedestrian traffic.,4121 Wallace Lane,The installation of the guardrail will require traffic control measures.,34,12/19/2022,09/08/2023,0,71593,0,0,0,0,0,0,71593,-86.834372,36.104007,Project Point,POINT (-86.834372 36.104007)
6097,Metro Nashville,Metro Public Works,Engineering,21-042011364157,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,15th Ave N/Hynes St From Alley 372 To Northwest of Church St,"New 5ft sidewalk with 2ft furnishing zone and 6"" post curb.",To fill gaps in existing sidewalk network and provide connectivity to recreational centers as well as residential and commercial areas.,15th Ave N/Hynes St From Alley 372 To Northwest of Church St,This project was selected to provide connectivity and pedestrian safety improvements.,19,07/13/2023,10/29/2023,337049,300000,372903.25,372903.25,300000,0,0,0,300000,-86.793928,36.158724,Project Line,POINT (-86.793928 36.158724)
7590,Metro Nashville,Metro Public Works,Engineering,22-030812440276,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,ELM HILL PIKE PH2A From BRILEY PARKWAY To 2340 ELM HILL PIKE,"This project bridged a sidewalk gap on Elm Hill Pike, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,ELM HILL PIKE From BRILEY PARKWAY To 2340 ELM HILL PIKE,Install new sidewalk on north side of Elm Hill Pike on east and west sides of intersection with Atrium Way. Project completed 2022.,15,03/21/2022,04/15/2022,151616.12,0,0,0,0,0,0,0,151616.12,-86.686717,36.153417,Project Line,POINT (-86.686717 36.153417)
7486,Metro Nashville,Metro Public Works,Engineering,22-022209061435,Sidewalk,New Sidewalk,New,Plan Design,,Planned,E Thompson Ln From Lawndale Dr To Murfreesboro Pike,"This project will bridge a sidewalk gap on E Thompson Lane, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,E Thompson Ln From Lawndale Dr To Murfreesboro Pike,Install new sidewalk on southeast side of E Thompson Lane between Lawndale Drive and Murfreesboro Pike. Estimated start early 2024.,16,03/01/2024,08/31/2024,210630.34,0,0,0,0,0,0,0,210630.34,-86.712211,36.125975,Project Line,POINT (-86.712211 36.125975)
5073,Metro Nashville,Metro Public Works,Engineering,2016-R-045,Sidewalk,New Sidewalk,New,Under Construction,,In Progress,Delmas Ave From Cherokee Ave To Gallatin Pike,5' Sidewalk with 4' Furnishing Zone,Project provides neighborhood connectivity to Transit and Businesses on Gallatin Pike,Delmas Ave From Cherokee Ave To Gallatin Pike,"Installation of new 5' sidewalk and 4' furnishing zone along with curb, gutter, and storm drainage that provides neighborhood connectivity to Transit and Businesses on Gallatin Pike","05, 06",05/05/2023,05/30/2024,2219168.75,1240000,2219196.75,0,1240000,0,0,0,1240000,-86.744491,36.200332,Project Line,POINT (-86.744491 36.200332)
8418,Metro Nashville,Metro Public Works,Engineering,23-121212091476,Guardrail,Guardrail Repairs,Maintenance/Repairs,Complete,,Complete,915 Burchwood Avenue,The work will consist of repairing guardrails on both sides of the roadway at the culvert.,To resolve and address the following: Damaged guardrail.,915 Burchwood Avenue,Guardrail repairs will require traffic control measures,05,10/23/2023,10/27/2023,0,33007,0,0,0,0,0,0,33007,-86.744998,36.202704,Project Line,POINT (-86.744998 36.202704)
7781,Metro Nashville,Metro Public Works,Paving,RPMS-49218,Paving,Paving,New,Complete,,Complete,APPLE CT - CEDAR DR - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",APPLE CT - CEDAR DR - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.",31,01/01/2023,12/31/2023,9500,0,0,0,0,0,0,0,9500,-86.705913,36.044614,Project Line,POINT (-86.705913 36.044614)
7437,Metro Nashville,Metro Public Works,Paving,RPMS-49102,Paving,Paving,New,Complete,,Complete,HICKORY GROVE DR - HICKORY WOODS E - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",HICKORY GROVE DR - HICKORY WOODS E - CUL-DE-SAC,"Based on the current condition index, this roadway segment qualifies for paving.",08,01/01/2023,01/31/2023,61750,0,0,0,0,0,0,0,61750,-86.585826,36.02859,Project Line,POINT (-86.585826 36.02859)
7504,Metro Nashville,Metro Public Works,Engineering,22-022215462181,Sidewalk,New Sidewalk,New,Future,,Future,OLD HICKORY BLVD From HIGHWAY 70 S To DEVON VALLEY DR,"This project will bridge a sidewalk gap on Old Hickory Boulevard, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,OLD HICKORY BLVD From HIGHWAY 70 S To DEVON VALLEY DR,Install new sidewalk on east side of Old Hickory Boulevard between Highway 70 and Devon Valley Drive. Estimated start 2026.,34,2026,2026,1407197.81,0,0,0,0,0,0,0,1407197.81,-86.918883,36.069224,Project Line,POINT (-86.918883 36.069224)
7516,Metro Nashville,Metro Public Works,Engineering,22-022309305744,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Construction/Closeout/Warranty,,Complete,Nolensville Pike From Craighead St To Walsh Rd,"This project bridged a sidewalk gap on Nolensville Pike, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Nolensville Pike From Craighead St To Walsh Rd,Install new sidewalk on west side of Nolensville Pike from Craighead Street to Walsh Road. Project completed 2023.,17,12/15/2022,03/01/2023,1200000,0,0,0,0,0,0,0,1200000,-86.759215,36.134069,Project Line,POINT (-86.759215 36.134069)
5412,Metro Nashville,Metro Public Works,Engineering,21-120113242341,Bikeway,Bike Lane,New,Future,,Planned,Patterson St From 25th Ave N To McMillin St,"New bikeway includes signed shared route, bike lane, and buffered bike lane",To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Patterson St From 25th Ave N To McMillin St,"New bikeway includes signed shared route, bike lane, and buffered bike lane in design","19, 21","Jan, 2024","Dec, 2024",315512.86,521082.08,0,0,72450,0,0,0,521082.08,-86.804186,36.154332,Project Line,POINT (-86.804186 36.154332)
7545,Metro Nashville,Metro Public Works,Engineering,22-022410125358,Bikeway,Shared Bikeway,New,Future,,Future,Coley Davis Rd From Poplar Ridge Dr To Highway 70 S,Construction of a new shared bikeway,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Coley Davis Rd From Poplar Ridge Dr To Highway 70 S,This bikeway will be coordinated with traffic calming in future planning.,22,"Jul, 2025","Dec, 2025",0,120000,0,0,0,0,0,0,120000,-86.967643,36.075205,Project Line,POINT (-86.967643 36.075205)
7492,Metro Nashville,Metro Public Works,Engineering,22-022211540367,Sidewalk,New Sidewalk,New,Plan Design,,Planned,McGavock Pike From Gallatin Pike To 1106 McGavock Pike,"This project will bridge multiple sidewalk gaps on McGavock Pike and Gallatin Pike, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,McGavock Pike From Gallatin Pike To 1106 McGavock Pike,"Install new sidewalk on south side of McGavock Pike and east side of Gallatin Pike, starting from the intersection of the two streets. Estimate start late 2023.","05, 06",07/06/2024,01/05/2025,448000,0,0,0,0,0,0,0,448000,-86.737423,36.205073,Project Line,POINT (-86.737423 36.205073)
7775,Metro Nashville,Metro Public Works,Engineering,22-072613162746,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,LOWER BROADWAY PHASE 6,20' sidewalk between Rep John Lewis Way and 4th Ave,To increase pedestrian safety and connectivity.,BROADWAY From REP JOHN LEWIS WAY (5TH AVE) To 4TH AVE,New sidewalk being built for pedestrian safety in a very busy area.,19,04/01/2023,05/05/2023,0,1500000,0,0,0,0,0,0,1500000,-86.777896,36.160876,Project Line,POINT (-86.777896 36.160876)
8306,Metro Nashville,Metro Public Works,Engineering,23-060211181044,Bridge,Bridge Repairs,Maintenance/Repairs,Ready for Construction,,Planned,Harrington Avenue/ Gibson Creek Tributary,"Flagged - NDOT. The work will consist of: Repair of concrete cracks, concrete scale, aggregate popouts, on bridge deck, install epoxy seal coat on bridge deck, repair concrete cracks in abutments and wingwalls, remove sediment buildup.","The 2021 TDOT inspection identified concrete cracks, concrete scale, aggregate popouts, on the bridge deck, concrete cracks in abutments and wingwalls, sediment buildup.",Harrington Avenue/ Gibson Creek Tributary,Traffic control measures will be required to complete the planned bridge repairs.,09,,,0,107210,0,0,0,0,0,0,107210,-86.71013,36.256945,Project Poly,POINT (-86.71013 36.256945)
7750,Metro Nashville,Metro Public Works,Engineering,22-070108372482,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,Shinkle Ave From Branch St To Riverside Dr,"This project bridged multiple sidewalk gaps on Shinkle Avenue, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Shinkle Ave From Branch St To Riverside Dr,Install new sidewalk on north side of Shinkle Avenue from Branch Street to Riverside Drive. Project completed 2022.,07,07/20/2022,07/30/2022,0,0,0,0,0,0,0,0,0,-86.724379,36.197398,Project Line,POINT (-86.724379 36.197398)
6102,Metro Nashville,Metro Public Works,Engineering,21-042007321630,Sidewalk,New Sidewalk,New,Complete,,Complete,Asheford Trace From Murphywood Xing To Ex SW of Bent Wood Dr,New sidewalks with grass furnishing zone.,To provide connectivity to local neighborhoods.,Asheford Trace From Murphywood Xing To Ex SW of Bent Wood Dr,Installation of sidewalk along roadway to provide connectivity to local neighborhoods.,32,07/18/2022,01/14/2023,106527,106527,0,0,0,0,0,0,106527,-86.623561,36.042463,Project Line,POINT (-86.623561 36.042463)
7518,Metro Nashville,Metro Public Works,Engineering,22-022309450241,Sidewalk,New Sidewalk,New,Complete,,Complete,SAWYER BROWN RD From HIGHWAY 70 S To TODD PREIS DR,"This project bridged a sidewalk gap on Sawyer Brown Road, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,SAWYER BROWN RD From HIGHWAY 70 S To TODD PREIS DR,Install new sidewalk on east side of Sawyer Brown Road from Todd Preis Drive to Highway 70. Project completed 2022.,22,06/03/2022,07/01/2022,260932.12,0,0,0,0,0,0,0,260932.12,-86.946244,36.072628,Project Line,POINT (-86.946244 36.072628)
7661,Metro Nashville,Metro Public Works,Paving,RPMS-49163,Paving,Paving,New,Plan Design,,Planned,GLENROSE AVE - MALDEN DR - E THOMPSON LN,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",GLENROSE AVE - MALDEN DR - E THOMPSON LN,"Based on the current condition index, this roadway segment qualifies for paving.",16,01/01/2022,12/31/2022,99750,0,0,0,0,0,0,0,99750,-86.724397,36.1162,Project Line,POINT (-86.724397 36.1162)
7663,Metro Nashville,Metro Public Works,Engineering,22-042514131242,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Construction/Closeout/Warranty,,Complete,LEALAND LN From GALE LN To CLAYTON AVE,"This project bridged sidewalk gaps on Lealand Avenue, improving walkability and pedestrian safety.",To provide safe connections for people walking to neighborhoods and destinations for transportation and recreation.,Lealand Ln From S of Gale Ln To Clayton Ave,Installation of 5' sidewalk with curb and gutter along west side of Lealand Ave between Gale Lane and Clayton Avenue. Project completed 2022.,17,05/23/2022,08/05/2022,112368.59,0,0,0,0,0,0,0,112368.59,-86.787094,36.116911,Project Line,POINT (-86.787094 36.116911)
7126,Metro Nashville,Metro Public Works,Engineering,21-060807431942,Bikeway,Shared Bikeway,New,Future,,Future,Shelby Ave From S 14th St To S 20th St,Construction of a new shared bikeway,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,Shelby Ave From S 14th St To S 20th St,This bikeway is estimated to begin in 2025 or later.,06,"Jul, 2025","Dec, 2025",35000,35000,0,0,35000,0,0,0,35000,-86.74135,36.170343,Project Line,POINT (-86.74135 36.170343)
